Lyrics,pos,pos_score,neg,neg_score,total,total_score
270번,긍정,2,부정,5,점수,3
271번,긍정,1,부정,4,점수,3
272번,긍정,12,부정,7,점수,-5
273번,긍정,11,부정,5,점수,-6
274번,긍정,8,부정,10,점수,2
275번,긍정,7,부정,6,점수,-1
276번,긍정,6,부정,2,점수,-4
277번,긍정,1,부정,1,점수,0
278번,긍정,8,부정,3,점수,-5
279번,긍정,2,부정,5,점수,3
280번,긍정,7,부정,7,점수,0
281번,긍정,10,부정,15,점수,5
282번,긍정,9,부정,11,점수,2
283번,긍정,1,부정,8,점수,7
284번,긍정,3,부정,4,점수,1
285번,긍정,2,부정,6,점수,4
286번,긍정,5,부정,4,점수,-1
287번,긍정,6,부정,8,점수,2
288번,긍정,2,부정,4,점수,2
289번,긍정,7,부정,9,점수,2
290번,긍정,9,부정,14,점수,5
291번,긍정,7,부정,7,점수,0
292번,긍정,9,부정,9,점수,0
293번,긍정,6,부정,6,점수,0
294번,긍정,3,부정,4,점수,1
295번,긍정,6,부정,15,점수,9
296번,긍정,1,부정,7,점수,6
297번,긍정,4,부정,3,점수,-1
298번,긍정,5,부정,2,점수,-3
299번,긍정,3,부정,8,점수,5
300번,긍정,3,부정,10,점수,7
301번,긍정,3,부정,7,점수,4
302번,긍정,7,부정,7,점수,0
303번,긍정,3,부정,8,점수,5
304번,긍정,4,부정,4,점수,0
305번,긍정,8,부정,11,점수,3
306번,긍정,0,부정,2,점수,2
307번,긍정,8,부정,2,점수,-6
308번,긍정,3,부정,1,점수,-2
309번,긍정,4,부정,6,점수,2
310번,긍정,10,부정,2,점수,-8
311번,긍정,4,부정,3,점수,-1
312번,긍정,12,부정,1,점수,-11
313번,긍정,5,부정,5,점수,0
314번,긍정,7,부정,4,점수,-3
315번,긍정,4,부정,6,점수,2
316번,긍정,5,부정,2,점수,-3
317번,긍정,10,부정,2,점수,-8
318번,긍정,3,부정,1,점수,-2
319번,긍정,5,부정,6,점수,1
320번,긍정,4,부정,4,점수,0
321번,긍정,3,부정,8,점수,5
322번,긍정,3,부정,0,점수,-3
323번,긍정,3,부정,12,점수,9
324번,긍정,4,부정,11,점수,7
325번,긍정,3,부정,12,점수,9
326번,긍정,10,부정,3,점수,-7
327번,긍정,3,부정,4,점수,1
328번,긍정,5,부정,5,점수,0
329번,긍정,4,부정,6,점수,2
330번,긍정,1,부정,4,점수,3
331번,긍정,4,부정,4,점수,0
332번,긍정,4,부정,1,점수,-3
333번,긍정,4,부정,11,점수,7
334번,긍정,9,부정,5,점수,-4
335번,긍정,5,부정,5,점수,0
336번,긍정,7,부정,12,점수,5
337번,긍정,4,부정,2,점수,-2
338번,긍정,4,부정,6,점수,2
339번,긍정,2,부정,4,점수,2
340번,긍정,9,부정,10,점수,1
341번,긍정,3,부정,6,점수,3
342번,긍정,4,부정,9,점수,5
343번,긍정,1,부정,7,점수,6
344번,긍정,2,부정,3,점수,1
345번,긍정,4,부정,6,점수,2
346번,긍정,4,부정,6,점수,2
347번,긍정,4,부정,4,점수,0
348번,긍정,0,부정,9,점수,9
349번,긍정,5,부정,10,점수,5
350번,긍정,7,부정,7,점수,0
351번,긍정,2,부정,6,점수,4
352번,긍정,6,부정,7,점수,1
353번,긍정,1,부정,4,점수,3
354번,긍정,2,부정,4,점수,2
355번,긍정,7,부정,6,점수,-1
356번,긍정,5,부정,3,점수,-2
357번,긍정,4,부정,7,점수,3
358번,긍정,6,부정,5,점수,-1
359번,긍정,4,부정,6,점수,2
360번,긍정,5,부정,4,점수,-1
361번,긍정,5,부정,3,점수,-2
362번,긍정,7,부정,2,점수,-5
363번,긍정,7,부정,7,점수,0
364번,긍정,5,부정,7,점수,2
365번,긍정,3,부정,6,점수,3
366번,긍정,4,부정,1,점수,-3
367번,긍정,7,부정,3,점수,-4
368번,긍정,2,부정,2,점수,0
369번,긍정,3,부정,4,점수,1
370번,긍정,3,부정,5,점수,2
371번,긍정,9,부정,8,점수,-1
372번,긍정,8,부정,4,점수,-4
373번,긍정,9,부정,3,점수,-6
374번,긍정,6,부정,3,점수,-3
375번,긍정,7,부정,5,점수,-2
376번,긍정,6,부정,2,점수,-4
377번,긍정,8,부정,4,점수,-4
